,Rank,Title,Score,Your Score,Status
0,Rank,Title,Score,Your Score,Status
1,1,"Sousou no Frieren  TV (28 eps)  Sep 2023 - Mar 2024  529,158 members",9.13,,Add to My List
2,2,"Fullmetal Alchemist: Brotherhood  TV (64 eps)  Apr 2009 - Jul 2010  3,302,715 members  Manga Store  Volume 1  $6.99 Preview",9.09,,Add to My List
3,3,"Steins;Gate  TV (24 eps)  Apr 2011 - Sep 2011  2,533,146 members",9.07,,Add to My List
4,4,"GintamaÂ°  TV (51 eps)  Apr 2015 - Mar 2016  622,410 members",9.06,,Add to My List
5,5,"Shingeki no Kyojin Season 3 Part 2  TV (10 eps)  Apr 2019 - Jul 2019  2,236,907 members  Manga Store  Volume 1  $10.99 Preview",9.05,,Add to My List
6,6,"Gintama: The Final  Movie (1 eps)  Jan 2021 - Jan 2021  146,236 members",9.04,,Add to My List
7,7,"Hunter x Hunter (2011)  TV (148 eps)  Oct 2011 - Sep 2014  2,787,143 members",9.04,,Add to My List
8,8,"Bleach: Sennen Kessen-hen  TV (13 eps)  Oct 2022 - Dec 2022  520,416 members",9.03,,Add to My List
9,9,"Gintama'  TV (51 eps)  Apr 2011 - Mar 2012  549,112 members",9.03,,Add to My List
10,10,"Ginga Eiyuu Densetsu  OVA (110 eps)  Jan 1988 - Mar 1997  317,905 members",9.02,,Add to My List
11,11,"Gintama': Enchousen  TV (13 eps)  Oct 2012 - Mar 2013  321,645 members",9.02,,Add to My List
12,12,"Kaguya-sama wa Kokurasetai: Ultra Romantic  TV (13 eps)  Apr 2022 - Jun 2022  902,681 members",9.02,,Add to My List
13,13,"Fruits Basket: The Final  TV (13 eps)  Apr 2021 - Jun 2021  466,439 members  Manga Store  Volume 1  $9.99 Preview",8.98,,Add to My List
14,14,"Gintama.  TV (12 eps)  Jan 2017 - Mar 2017  310,779 members",8.98,,Add to My List
15,15,"Gintama  TV (201 eps)  Apr 2006 - Mar 2010  1,055,217 members",8.94,,Add to My List
16,16,"Clannad: After Story  TV (24 eps)  Oct 2008 - Mar 2009  1,182,110 members",8.93,,Add to My List
17,17,"Koe no Katachi  Movie (1 eps)  Sep 2016 - Sep 2016  2,294,593 members  Manga Store  Volume 1  $10.99 Preview",8.93,,Add to My List
18,18,"Shingeki no Kyojin: The Final Season - Kanketsu-hen  TV Special (2 eps)  Mar 2023 - Nov 2023  608,594 members  Manga Store  Volume 1  $10.99 Preview",8.92,,Add to My List
19,19,"3-gatsu no Lion 2nd Season  TV (22 eps)  Oct 2017 - Mar 2018  397,559 members",8.92,,Add to My List
20,20,"Code Geass: Hangyaku no Lelouch R2  TV (25 eps)  Apr 2008 - Sep 2008  1,761,553 members",8.91,,Add to My List
21,21,"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare  Movie (1 eps)  Jul 2013 - Jul 2013  238,276 members",8.91,,Add to My List
22,22,"Gintama.: Shirogane no Tamashii-hen - Kouhan-sen  TV (14 eps)  Jul 2018 - Oct 2018  195,726 members",8.88,,Add to My List
23,23,"Monster  TV (74 eps)  Apr 2004 - Sep 2005  1,093,519 members",8.88,,Add to My List
24,24,"Violet Evergarden Movie  Movie (1 eps)  Sep 2020 - Sep 2020  594,865 members",8.88,,Add to My List
25,25,"Owarimonogatari 2nd Season  TV Special (7 eps)  Aug 2017 - Aug 2017  394,537 members",8.87,,Add to My List
26,26,"Jujutsu Kaisen 2nd Season  TV (23 eps)  Jul 2023 - Dec 2023  834,724 members",8.86,,Add to My List
27,27,"Kimi no Na wa.  Movie (1 eps)  Aug 2016 - Aug 2016  2,705,904 members  Manga Store  Volume 1  $6.99 Preview",8.84,,Add to My List
28,28,"Kingdom 3rd Season  TV (26 eps)  Apr 2020 - Oct 2021  99,590 members",8.82,,Add to My List
29,29,"Kusuriya no Hitorigoto  TV (24 eps)  Oct 2023 - 277,195 members",8.81,,Add to My List
30,30,"Gintama.: Shirogane no Tamashii-hen  TV (12 eps)  Jan 2018 - Mar 2018  209,970 members",8.81,,Add to My List
31,31,"The First Slam Dunk  Movie (1 eps)  Dec 2022 - Dec 2022  36,139 members",8.81,,Add to My List
32,32,"Vinland Saga Season 2  TV (24 eps)  Jan 2023 - Jun 2023  570,750 members  Manga Store  Volume 1  $17.99 Preview",8.80,,Add to My List
33,33,"Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai  Movie (1 eps)  Dec 2022 - Dec 2022  245,697 members",8.80,,Add to My List
34,34,"Bocchi the Rock!  TV (12 eps)  Oct 2022 - Dec 2022  533,833 members",8.80,,Add to My List
35,35,"Mob Psycho 100 II  TV (13 eps)  Jan 2019 - Apr 2019  1,505,337 members",8.79,,Add to My List
36,36,"Shingeki no Kyojin: The Final Season  TV (16 eps)  Dec 2020 - Mar 2021  1,962,240 members  Manga Store  Volume 1  $10.99 Preview",8.79,,Add to My List
37,37,"Kizumonogatari III: Reiketsu-hen  Movie (1 eps)  Jan 2017 - Jan 2017  456,648 members  Manga Store  Part1  $9.99 Preview",8.78,,Add to My List
38,38,"Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou  TV (10 eps)  Oct 2016 - Dec 2016  1,186,297 members",8.78,,Add to My List
39,39,"Hajime no Ippo  TV (75 eps)  Oct 2000 - Mar 2002  582,145 members",8.77,,Add to My List
40,40,"Sen to Chihiro no Kamikakushi  Movie (1 eps)  Jul 2001 - Jul 2001  1,831,982 members",8.77,,Add to My List
41,41,"Shingeki no Kyojin: The Final Season Part 2  TV (12 eps)  Jan 2022 - Apr 2022  1,255,542 members  Manga Store  Volume 1  $10.99 Preview",8.77,,Add to My List
42,42,"Kimetsu no Yaiba: Yuukaku-hen  TV (11 eps)  Dec 2021 - Feb 2022  1,385,342 members",8.76,,Add to My List
43,43,"Monogatari Series: Second Season  TV (26 eps)  Jul 2013 - Dec 2013  664,230 members  Manga Store  Volume 1  $9.99 Preview",8.76,,Add to My List
44,44,"Boku no Kokoro no Yabai Yatsu Season 2  TV (13 eps)  Jan 2024 - Mar 2024  114,413 members",8.76,,Add to My List
45,45,"Cowboy Bebop  TV (26 eps)  Apr 1998 - Apr 1999  1,842,656 members",8.75,,Add to My List
46,46,"Vinland Saga  TV (24 eps)  Jul 2019 - Dec 2019  1,477,280 members  Manga Store  Volume 1  $17.99 Preview",8.75,,Add to My List
47,47,"Kingdom 4th Season  TV (26 eps)  Apr 2022 - Oct 2022  61,111 members",8.74,,Add to My List
48,48,"Mushishi Zoku Shou 2nd Season  TV (10 eps)  Oct 2014 - Dec 2014  263,482 members  Manga Store  Volume 1  $10.99 Preview",8.73,,Add to My List
49,49,"Kingdom 5th Season  TV (? eps)  Jan 2024 - 24,804 members",8.72,,Add to My List
50,50,"One Piece  TV (? eps)  Oct 1999 - 2,314,149 members",8.72,,Add to My List
